"species","taxonomic_order","litter_mass","longevity","body_mass_g","female_body_mass_g","invasiveness","interdigitation","relative_litter_mass","relative_litter_mass_female","litter_size","neonate_body_size"
"lynx_rufus","Carnivora",759,11801.67,9400,,"Endotheliochorial","Labyrinthine",0.0807446808510638,,2.53,300
"macaca_fascicularis","Primates",328.76,14235,4569.32,,"Hemochorial","Trabecular",0.0719494366776676,,1,328.76
"macaca_fuscata","Primates",712.2294,14052.5,8882.5,8671.66667,"Hemochorial","Trabecular",0.0801834393470307,0.082132930969774,1.42,501.57
"macaca_mulatta","Primates",471.47,14600,6614,6526.11111,"Hemochorial","Trabecular",0.07128364076202,0.0722436366854931,1,471.47
"macaca_nigra","Primates",457.77,12410,7662.2,,"Hemochorial","Trabecular",0.0597439377724413,,1,457.77
"macaca_radiata","Primates",367.52,10959.13,5132.25,,"Hemochorial","Trabecular",0.0716099176774319,,1,367.52
"macaca_silenus","Primates",416.11,14663.88,6570,,"Hemochorial","Trabecular",0.0633348554033486,,1,416.11
"madoqua_guentheri","Artiodactyla",684,6387.5,4550,,"Epitheliochorial","Villous",0.15032967032967,,1,684
"madoqua_kirkii","Artiodactyla",625.82,6314.5,4833.4,,"Epitheliochorial","Villous",0.129478214093599,,1,625.82
"mandrillus_sphinx","Primates",643.5345,16910.45,23000,,"Hemochorial","Trabecular",0.0279797608695652,,1.05,612.89
"marmota_flaviventris","Rodentia",150.0276,7738,3709.73,2572,"Hemochorial","Labyrinthine",0.0404416493922738,0.0583311041990669,4.44,33.79
"marmota_monax","Rodentia",122.355,5110,3413,,"Hemochorial","Labyrinthine",0.0358496923527688,,4.5,27.19
"martes_americana","Carnivora",85.449,6935,892,960,"Endotheliochorial","Labyrinthine",0.0957948430493274,0.089009375,2.73,31.3
"martes_zibellina","Carnivora",97.7186,8030,1066.7,,"Endotheliochorial","Labyrinthine",0.0916083247398519,,3.13,31.22
"mastomys_natalensis","Rodentia",17.028,1061.54,41.68,9.3,"Hemochorial","Labyrinthine",0.408541266794626,1.83096774193548,8.6,1.98
"megaptera_novaeangliae","Artiodactyla",1299999.99,34675,3e+07,,"Epitheliochorial","Trabecular",0.043333333,,1,1299999.99
