"species","gestation_length","longevity","invasiveness","interdigitation","taxonomic_order"
"odobenus_rosmarus",353.7,14600,"Endotheliochorial","Labyrinthine","Carnivora"
"odocoileus_hemionus",207,8030,"Epitheliochorial","Villous","Artiodactyla"
"odocoileus_virginianus",201.39,8395,"Epitheliochorial","Villous","Artiodactyla"
"okapia_johnstoni",452.58,12227.5,"Epitheliochorial","Villous","Artiodactyla"
"ondatra_zibethicus",27.78,3650,"Hemochorial","Labyrinthine","Rodentia"
"orcinus_orca",454.72,36500,"Epitheliochorial","Villous","Artiodactyla"
"oreamnos_americanus",182.62,7592,"Epitheliochorial","Villous","Artiodactyla"
"oreotragus_oreotragus",206.66,9453.5,"Epitheliochorial","Villous","Artiodactyla"
"orycteropus_afer",222.05,10877,"Endotheliochorial","Labyrinthine","Tubulidentata"
"oryctolagus_cuniculus",30.6,6570,"Hemochorial","Labyrinthine","Lagomorpha"
"oryx_dammah",247,10037.5,"Epitheliochorial","Villous","Artiodactyla"
